"TIME","GEO","UNIT","SEX","Value"
"2007","Spain","Number","Females","823"
"2007","France","Number","Total","4,620"
"2007","France","Number","Males","3,502"
"2007","France","Number","Females","1,118"
"2007","Croatia","Number","Total","619"
"2007","Croatia","Number","Males",":"
"2007","Croatia","Number","Females",":"
"2007","Italy","Number","Total","5,131"
"2007","Italy","Number","Males","4,126"
"2007","Italy","Number","Females","1,005"
"2007","Cyprus","Number","Total","89"
"2007","Cyprus","Number","Males","75"
"2007","Cyprus","Number","Females","14"
"2007","Latvia","Number","Total","419"
"2007","Latvia","Number","Males","317"
"2007","Latvia","Number","Females","100"
"2007","Lithuania","Number","Total","740"
"2007","Lithuania","Number","Males",":"
"2007","Lithuania","Number","Females",":"
"2007","Luxembourg","Number","Total","46"
"2007","Luxembourg","Number","Males","38"
"2007","Luxembourg","Number","Females","7"
"2007","Hungary","Number","Total","1,232"
"2007","Hungary","Number","Males","916"
"2007","Hungary","Number","Females","314"
"2007","Malta","Number","Total","12"
"2007","Malta","Number","Males","11"
"2007","Malta","Number","Females","1"
"2007","Netherlands","Number","Total","709"
"2007","Netherlands","Number","Males","517"
"2007","Netherlands","Number","Females","192"
"2007","Austria","Number","Total","691"
"2007","Austria","Number","Males","530"
"2007","Austria","Number","Females","161"
"2007","Poland","Number","Total","5,583"
"2007","Poland","Number","Males","4,241"
"2007","Poland","Number","Females","1,333"
"2007","Portugal","Number","Total","974"
"2007","Portugal","Number","Males","779"
"2007","Portugal","Number","Females","188"
"2007","Romania","Number","Total","2,800"
"2007","Romania","Number","Males","2,060"
"2007","Romania","Number","Females","740"
"2007","Slovenia","Number","Total","293"
"2007","Slovenia","Number","Males","232"
"2007","Slovenia","Number","Females","59"
"2007","Slovakia","Number","Total","661"
"2007","Slovakia","Number","Males","505"
"2007","Slovakia","Number","Females","156"
"2007","Finland","Number","Total","380"
"2007","Finland","Number","Males","279"
"2007","Finland","Number","Females","101"
"2007","Sweden","Number","Total","471"
"2007","Sweden","Number","Males","344"
"2007","Sweden","Number","Females","127"
"2007","United Kingdom","Number","Total","3,059"
"2007","United Kingdom","Number","Males","2,307"
"2007","United Kingdom","Number","Females","752"
"2007","Iceland","Number","Total","15"
"2007","Iceland","Number","Males","13"
"2007","Iceland","Number","Females","2"
"2007","Liechtenstein","Number","Total","0"
"2007","Liechtenstein","Number","Males","0"
"2007","Liechtenstein","Number","Females","0"
"2007","Norway","Number","Total","233"
"2007","Norway","Number","Males","163"
"2007","Norway","Number","Females","70"
"2007","Switzerland","Number","Total","384"
"2007","Switzerland","Number","Males","302"
"2007","Switzerland","Number","Females","82"
"2008","Belgium","Number","Total","944"
"2008","Belgium","Number","Males","717"
"2008","Belgium","Number","Females","221"
"2008","Bulgaria","Number","Total","1,061"
"2008","Bulgaria","Number","Males","788"
"2008","Bulgaria","Number","Females","231"
"2008","Czech Republic","Number","Total","1,076"
"2008","Czech Republic","Number","Males","817"
"2008","Czech Republic","Number","Females","259"
"2008","Denmark","Number","Total","406"
"2008","Denmark","Number","Males","299"
"2008","Denmark","Number","Females","107"
"2008","Germany (until 1990 former territory of the FRG)","Number","Total","4,477"
"2008","Germany (until 1990 former territory of the FRG)","Number","Males","3,247"
"2008","Germany (until 1990 former territory of the FRG)","Number","Females","1,229"
"2008","Estonia","Number","Total","132"
"2008","Estonia","Number","Males","97"
"2008","Estonia","Number","Females","34"
"2008","Ireland","Number","Total","280"
"2008","Ireland","Number","Males","199"
"2008","Ireland","Number","Females","75"
"2008","Greece","Number","Total","1,553"
"2008","Greece","Number","Males","1,244"
"2008","Greece","Number","Females","304"
"2008","Spain","Number","Total","3,099"
"2008","Spain","Number","Males","2,412"
"2008","Spain","Number","Females","676"
"2008","France","Number","Total","4,275"
"2008","France","Number","Males","3,262"
"2008","France","Number","Females","1,013"
"2008","Croatia","Number","Total","664"
"2008","Croatia","Number","Males","505"
"2008","Croatia","Number","Females","157"
"2008","Italy","Number","Total","4,725"
"2008","Italy","Number","Males","3,765"
"2008","Italy","Number","Females","960"
"2008","Cyprus","Number","Total","82"
"2008","Cyprus","Number","Males","65"
"2008","Cyprus","Number","Females","17"
"2008","Latvia","Number","Total","316"
"2008","Latvia","Number","Males","239"
"2008","Latvia","Number","Females","77"
"2008","Lithuania","Number","Total","499"
"2008","Lithuania","Number","Males",":"
"2008","Lithuania","Number","Females",":"
"2008","Luxembourg","Number","Total","35"
"2008","Luxembourg","Number","Males","27"
"2008","Luxembourg","Number","Females","8"
"2008","Hungary","Number","Total","996"
"2008","Hungary","Number","Males","757"
"2008","Hungary","Number","Females","237"
"2008","Malta","Number","Total","9"
"2008","Malta","Number","Males","6"
"2008","Malta","Number","Females","3"
"2008","Netherlands","Number","Total","677"
"2008","Netherlands","Number","Males","498"
"2008","Netherlands","Number","Females","179"
"2008","Austria","Number","Total","679"
"2008","Austria","Number","Males","509"
"2008","Austria","Number","Females","170"
"2008","Poland","Number","Total","5,437"
"2008","Poland","Number","Males","4,099"
"2008","Poland","Number","Females","1,321"
"2008","Portugal","Number","Total","885"
"2008","Portugal","Number","Males","674"
"2008","Portugal","Number","Females","209"
"2008","Romania","Number","Total","3,065"
"2008","Romania","Number","Males","2,300"
"2008","Romania","Number","Females","765"
"2008","Slovenia","Number","Total","214"
"2008","Slovenia","Number","Males","178"
"2008","Slovenia","Number","Females","36"
"2008","Slovakia","Number","Total","606"
"2008","Slovakia","Number","Males","495"
"2008","Slovakia","Number","Females","111"
"2008","Finland","Number","Total","344"
"2008","Finland","Number","Males","265"
"2008","Finland","Number","Females","79"
"2008","Sweden","Number","Total","397"
"2008","Sweden","Number","Males","286"
"2008","Sweden","Number","Females","111"
"2008","United Kingdom","Number","Total","2,645"
"2008","United Kingdom","Number","Males","1,962"
"2008","United Kingdom","Number","Females","682"
"2008","Iceland","Number","Total","12"
"2008","Iceland","Number","Males","10"
"2008","Iceland","Number","Females","2"
"2008","Liechtenstein","Number","Total","1"
"2008","Liechtenstein","Number","Males",":"
"2008","Liechtenstein","Number","Females",":"
"2008","Norway","Number","Total","255"
"2008","Norway","Number","Males","195"
"2008","Norway","Number","Females","60"
"2008","Switzerland","Number","Total","357"
"2008","Switzerland","Number","Males","267"
"2008","Switzerland","Number","Females","90"
"2009","Belgium","Number","Total","944"
"2009","Belgium","Number","Males","705"
"2009","Belgium","Number","Females","234"
"2009","Bulgaria","Number","Total","901"
"2009","Bulgaria","Number","Males","700"
"2009","Bulgaria","Number","Females","201"
"2009","Czech Republic","Number","Total","901"
"2009","Czech Republic","Number","Males","659"
"2009","Czech Republic","Number","Females","225"
"2009","Denmark","Number","Total","303"
"2009","Denmark","Number","Males","212"
"2009","Denmark","Number","Females","91"
"2009","Germany (until 1990 former territory of the FRG)","Number","Total","4,152"
"2009","Germany (until 1990 former territory of the FRG)","Number","Males","3,050"
"2009","Germany (until 1990 former territory of the FRG)","Number","Females","1,102"
"2009","Estonia","Number","Total","98"
"2009","Estonia","Number","Males","71"
"2009","Estonia","Number","Females","26"
"2009","Ireland","Number","Total","238"
"2009","Ireland","Number","Males","182"
"2009","Ireland","Number","Females","56"
"2009","Greece","Number","Total","1,456"
"2009","Greece","Number","Males","1,201"
"2009","Greece","Number","Females","250"
"2009","Spain","Number","Total","2,714"
"2009","Spain","Number","Males","2,087"
"2009","Spain","Number","Females","621"
"2009","France","Number","Total","4,273"
"2009","France","Number","Males","3,232"
"2009","France","Number","Females","1,041"
"2009","Croatia","Number","Total","548"
"2009","Croatia","Number","Males","406"
"2009","Croatia","Number","Females","141"
"2009","Italy","Number","Total","4,237"
"2009","Italy","Number","Males","3,311"
"2009","Italy","Number","Females","926"
"2009","Cyprus","Number","Total","71"
"2009","Cyprus","Number","Males","59"
"2009","Cyprus","Number","Females","12"
"2009","Latvia","Number","Total","254"
"2009","Latvia","Number","Males","166"
"2009","Latvia","Number","Females","42"
"2009","Lithuania","Number","Total","370"
"2009","Lithuania","Number","Males",":"
"2009","Lithuania","Number","Females",":"
"2009","Luxembourg","Number","Total","48"
"2009","Luxembourg","Number","Males","35"
"2009","Luxembourg","Number","Females","13"
"2009","Hungary","Number","Total","822"
"2009","Hungary","Number","Males","612"
"2009","Hungary","Number","Females","207"
"2009","Malta","Number","Total","15"
"2009","Malta","Number","Males","10"
"2009","Malta","Number","Females","5"
"2009","Netherlands","Number","Total","644"
"2009","Netherlands","Number","Males","469"
"2009","Netherlands","Number","Females","175"
"2009","Austria","Number","Total","633"
"2009","Austria","Number","Males","478"
"2009","Austria","Number","Females","155"
"2009","Poland","Number","Total","4,572"
"2009","Poland","Number","Males","3,456"
"2009","Poland","Number","Females","1,109"
"2009","Portugal","Number","Total","840"
"2009","Portugal","Number","Males","666"
"2009","Portugal","Number","Females","173"
"2009","Romania","Number","Total","2,796"
"2009","Romania","Number","Males","2,102"
"2009","Romania","Number","Females","694"
"2009","Slovenia","Number","Total","171"
"2009","Slovenia","Number","Males","132"
"2009","Slovenia","Number","Females","39"
"2009","Slovakia","Number","Total","384"
"2009","Slovakia","Number","Males","296"
"2009","Slovakia","Number","Females","88"
"2009","Finland","Number","Total","279"
"2009","Finland","Number","Males","208"
"2009","Finland","Number","Females","71"
"2009","Sweden","Number","Total","358"
"2009","Sweden","Number","Males","266"
"2009","Sweden","Number","Females","92"
"2009","United Kingdom","Number","Total","2,337"
"2009","United Kingdom","Number","Males","1,740"
"2009","United Kingdom","Number","Females","597"
"2009","Iceland","Number","Total","17"
"2009","Iceland","Number","Males","14"
"2009","Iceland","Number","Females","3"
"2009","Liechtenstein","Number","Total","1"
"2009","Liechtenstein","Number","Males",":"
"2009","Liechtenstein","Number","Females",":"
"2009","Norway","Number","Total","212"
"2009","Norway","Number","Males","167"
"2009","Norway","Number","Females","45"
"2009","Switzerland","Number","Total","349"
"2009","Switzerland","Number","Males","269"
"2009","Switzerland","Number","Females","80"
"2010","Belgium","Number","Total","840"
"2010","Belgium","Number","Males","629"
"2010","Belgium","Number","Females","203"
"2010","Bulgaria","Number","Total",":"
"2010","Bulgaria","Number","Males",":"
"2010","Bulgaria","Number","Females",":"
"2010","Czech Republic","Number","Total","802"
"2010","Czech Republic","Number","Males","607"
"2010","Czech Republic","Number","Females","177"
"2010","Denmark","Number","Total","255"
"2010","Denmark","Number","Males","170"
"2010","Denmark","Number","Females","85"
"2010","Germany (until 1990 former territory of the FRG)","Number","Total","3,648"
"2010","Germany (until 1990 former territory of the FRG)","Number","Males","2,651"
"2010","Germany (until 1990 former territory of the FRG)","Number","Females","997"
"2010","Estonia","Number","Total","79"
"2010","Estonia","Number","Males","55"
"2010","Estonia","Number","Females","24"
"2010","Ireland","Number","Total","212"
"2010","Ireland","Number","Males","161"
"2010","Ireland","Number","Females","46"
"2010","Greece","Number","Total","1,258"
"2010","Greece","Number","Males","1,013"
"2010","Greece","Number","Females","245"
"2010","Spain","Number","Total","2,479"
"2010","Spain","Number","Males","1,917"
"2010","Spain","Number","Females","556"
"2010","France","Number","Total","3,992"
"2010","France","Number","Males","3,039"
"2010","France","Number","Females","953"
"2010","Croatia","Number","Total","426"
"2010","Croatia","Number","Males","324"
"2010","Croatia","Number","Females","102"
"2010","Italy","Number","Total","4,114"
"2010","Italy","Number","Males","3,268"
"2010","Italy","Number","Females","846"
"2010","Cyprus","Number","Total","60"
"2010","Cyprus","Number","Males","50"
"2010","Cyprus","Number","Females","10"
"2010","Latvia","Number","Total","218"
"2010","Latvia","Number","Males","121"
"2010","Latvia","Number","Females","26"
"2010","Lithuania","Number","Total","299"
"2010","Lithuania","Number","Males",":"
"2010","Lithuania","Number","Females",":"
"2010","Luxembourg","Number","Total","32"
"2010","Luxembourg","Number","Males","24"
"2010","Luxembourg","Number","Females","8"
"2010","Hungary","Number","Total","740"
"2010","Hungary","Number","Males","555"
"2010","Hungary","Number","Females","181"
"2010","Malta","Number","Total","13"
"2010","Malta","Number","Males","8"
"2010","Malta","Number","Females","5"
"2010","Netherlands","Number","Total","537"
"2010","Netherlands","Number","Males","392"
"2010","Netherlands","Number","Females","145"
"2010","Austria","Number","Total","552"
"2010","Austria","Number","Males","409"
"2010","Austria","Number","Females","143"
"2010","Poland","Number","Total","3,908"
"2010","Poland","Number","Males","2,977"
"2010","Poland","Number","Females","913"
"2010","Portugal","Number","Total","937"
"2010","Portugal","Number","Males","734"
"2010","Portugal","Number","Females","203"
"2010","Romania","Number","Total","2,377"
"2010","Romania","Number","Males","1,802"
"2010","Romania","Number","Females","575"
"2010","Slovenia","Number","Total","138"
"2010","Slovenia","Number","Males","104"
"2010","Slovenia","Number","Females","34"
"2010","Slovakia","Number","Total","371"
"2010","Slovakia","Number","Males","279"
"2010","Slovakia","Number","Females","92"
"2010","Finland","Number","Total","272"
"2010","Finland","Number","Males","204"
"2010","Finland","Number","Females","68"
"2010","Sweden","Number","Total","266"
"2010","Sweden","Number","Males","199"
"2010","Sweden","Number","Females","67"
"2010","United Kingdom","Number","Total","1,905"
"2010","United Kingdom","Number","Males","1,408"
"2010","United Kingdom","Number","Females","497"
"2010","Iceland","Number","Total","8"
"2010","Iceland","Number","Males","4"
"2010","Iceland","Number","Females","4"
"2010","Liechtenstein","Number","Total","0"
"2010","Liechtenstein","Number","Males","0"
"2010","Liechtenstein","Number","Females","0"
"2010","Norway","Number","Total","208"
"2010","Norway","Number","Males","158"
"2010","Norway","Number","Females","50"
"2010","Switzerland","Number","Total","327"
"2010","Switzerland","Number","Males","244"
"2010","Switzerland","Number","Females","83"
"2011","Belgium","Number","Total","862"
"2011","Belgium","Number","Males","659"
"2011","Belgium","Number","Females","192"
"2011","Bulgaria","Number","Total",":"
"2011","Bulgaria","Number","Males",":"
"2011","Bulgaria","Number","Females",":"
"2011","Czech Republic","Number","Total","773"
"2011","Czech Republic","Number","Males","574"
"2011","Czech Republic","Number","Females","187"
"2011","Denmark","Number","Total","220"
"2011","Denmark","Number","Males","161"
"2011","Denmark","Number","Females","59"
"2011","Germany (until 1990 former territory of the FRG)","Number","Total","4,009"
"2011","Germany (until 1990 former territory of the FRG)","Number","Males","2,971"
"2011","Germany (until 1990 former territory of the FRG)","Number","Females","1,038"
"2011","Estonia","Number","Total","101"
"2011","Estonia","Number","Males","74"
"2011","Estonia","Number","Females","27"
"2011","Ireland","Number","Total","186"
"2011","Ireland","Number","Males","130"
"2011","Ireland","Number","Females","56"
"2011","Greece","Number","Total","1,141"
"2011","Greece","Number","Males","920"
"2011","Greece","Number","Females","221"
"2011","Spain","Number","Total","2,060"
"2011","Spain","Number","Males","1,589"
"2011","Spain","Number","Females","465"
"2011","France","Number","Total","3,963"
"2011","France","Number","Males","3,024"
"2011","France","Number","Females","939"
"2011","Croatia","Number","Total","418"
"2011","Croatia","Number","Males","334"
"2011","Croatia","Number","Females","84"
"2011","Italy","Number","Total","3,860"
"2011","Italy","Number","Males","3,005"
"2011","Italy","Number","Females","855"
"2011","Cyprus","Number","Total","71"
"2011","Cyprus","Number","Males","58"
"2011","Cyprus","Number","Females","13"
"2011","Latvia","Number","Total","179"
"2011","Latvia","Number","Males","109"
"2011","Latvia","Number","Females","8"
"2011","Lithuania","Number","Total","297"
"2011","Lithuania","Number","Males",":"
"2011","Lithuania","Number","Females",":"
"2011","Luxembourg","Number","Total","33"
"2011","Luxembourg","Number","Males","22"
"2011","Luxembourg","Number","Females","11"
"2011","Hungary","Number","Total","638"
"2011","Hungary","Number","Males","467"
"2011","Hungary","Number","Females","169"
"2011","Malta","Number","Total",":"
"2011","Malta","Number","Males",":"
"2011","Malta","Number","Females",":"
"2011","Netherlands","Number","Total","546"
"2011","Netherlands","Number","Males","384"
"2011","Netherlands","Number","Females","162"
"2011","Austria","Number","Total","523"
"2011","Austria","Number","Males","385"
"2011","Austria","Number","Females","138"
"2011","Poland","Number","Total","4,189"
"2011","Poland","Number","Males","3,243"
"2011","Poland","Number","Females","938"
"2011","Portugal","Number","Total","891"
"2011","Portugal","Number","Males","675"
"2011","Portugal","Number","Females","216"
"2011","Romania","Number","Total","2,018"
"2011","Romania","Number","Males","1,545"
"2011","Romania","Number","Females","473"
"2011","Slovenia","Number","Total","141"
"2011","Slovenia","Number","Males","113"
"2011","Slovenia","Number","Females","28"
"2011","Slovakia","Number","Total",":"
"2011","Slovakia","Number","Males",":"
"2011","Slovakia","Number","Females",":"
"2011","Finland","Number","Total","292"
"2011","Finland","Number","Males","211"
"2011","Finland","Number","Females","81"
"2011","Sweden","Number","Total","319"
"2011","Sweden","Number","Males","241"
"2011","Sweden","Number","Females","78"
"2011","United Kingdom","Number","Total","1,960"
"2011","United Kingdom","Number","Males","1,461"
"2011","United Kingdom","Number","Females","499"
"2011","Iceland","Number","Total","12"
"2011","Iceland","Number","Males","8"
"2011","Iceland","Number","Females","4"
"2011","Liechtenstein","Number","Total","2"
"2011","Liechtenstein","Number","Males",":"
"2011","Liechtenstein","Number","Females",":"
"2011","Norway","Number","Total","168"
"2011","Norway","Number","Males","118"
"2011","Norway","Number","Females","50"
"2011","Switzerland","Number","Total","320"
"2011","Switzerland","Number","Males","240"
"2011","Switzerland","Number","Females","80"
"2012","Belgium","Number","Total","770"
"2012","Belgium","Number","Males","589"
"2012","Belgium","Number","Females","179"
"2012","Bulgaria","Number","Total",":"
"2012","Bulgaria","Number","Males",":"
"2012","Bulgaria","Number","Females",":"
"2012","Czech Republic","Number","Total","742"
"2012","Czech Republic","Number","Males","560"
"2012","Czech Republic","Number","Females","167"
"2012","Denmark","Number","Total","167"
"2012","Denmark","Number","Males","122"
"2012","Denmark","Number","Females","45"
"2012","Germany (until 1990 former territory of the FRG)","Number","Total","3,600"
"2012","Germany (until 1990 former territory of the FRG)","Number","Males","2,650"
"2012","Germany (until 1990 former territory of the FRG)","Number","Females","950"
"2012","Estonia","Number","Total","87"
"2012","Estonia","Number","Males","64"
"2012","Estonia","Number","Females","23"
"2012","Ireland","Number","Total","162"
"2012","Ireland","Number","Males","108"
"2012","Ireland","Number","Females","54"
"2012","Greece","Number","Total","988"
"2012","Greece","Number","Males","806"
"2012","Greece","Number","Females","182"
"2012","Spain","Number","Total","1,902"
"2012","Spain","Number","Males","1,447"
"2012","Spain","Number","Females","449"
"2012","France","Number","Total","3,653"
"2012","France","Number","Males","2,730"
"2012","France","Number","Females","923"
"2012","Croatia","Number","Total","393"
"2012","Croatia","Number","Males","324"
"2012","Croatia","Number","Females","69"
"2012","Italy","Number","Total","3,753"
"2012","Italy","Number","Males","3,015"
"2012","Italy","Number","Females","738"
"2012","Cyprus","Number","Total","51"
"2012","Cyprus","Number","Males","37"
"2012","Cyprus","Number","Females","14"
"2012","Latvia","Number","Total","177"
"2012","Latvia","Number","Males","128"
"2012","Latvia","Number","Females","47"
"2012","Lithuania","Number","Total",":"
"2012","Lithuania","Number","Males",":"
"2012","Lithuania","Number","Females",":"
"2012","Luxembourg","Number","Total","34"
"2012","Luxembourg","Number","Males","26"
"2012","Luxembourg","Number","Females","8"
"2012","Hungary","Number","Total","605"
"2012","Hungary","Number","Males","438"
"2012","Hungary","Number","Females","163"
"2012","Malta","Number","Total",":"
"2012","Malta","Number","Males",":"
"2012","Malta","Number","Females",":"
"2012","Netherlands","Number","Total","562"
"2012","Netherlands","Number","Males","416"
"2012","Netherlands","Number","Females","146"
"2012","Austria","Number","Total","531"
"2012","Austria","Number","Males","378"
"2012","Austria","Number","Females","153"
