"TIME","GEO","UNIT","TRA_INFR","Value"
"2008","Spain","Number","Rural roads","1,977"
"2008","France","Number","Motorways","233"
"2008","France","Number","Urban roads","1,235"
"2008","France","Number","Rural roads","2,807"
"2008","Croatia","Number","Motorways","67"
"2008","Croatia","Number","Urban roads","414"
"2008","Croatia","Number","Rural roads","183"
"2008","Italy","Number","Motorways","452"
"2008","Italy","Number","Urban roads","2,070"
"2008","Italy","Number","Rural roads","2,203"
"2008","Cyprus","Number","Motorways","7"
"2008","Cyprus","Number","Urban roads","57"
"2008","Cyprus","Number","Rural roads","18"
"2008","Latvia","Number","Motorways","0"
"2008","Latvia","Number","Urban roads","97"
"2008","Latvia","Number","Rural roads","219"
"2008","Lithuania","Number","Motorways",":"
"2008","Lithuania","Number","Urban roads",":"
"2008","Lithuania","Number","Rural roads",":"
"2008","Luxembourg","Number","Motorways","6"
"2008","Luxembourg","Number","Urban roads","9"
"2008","Luxembourg","Number","Rural roads","20"
"2008","Hungary","Number","Motorways","54"
"2008","Hungary","Number","Urban roads","419"
"2008","Hungary","Number","Rural roads","523"
"2008","Malta","Number","Motorways","0"
"2008","Malta","Number","Urban roads","9"
"2008","Malta","Number","Rural roads","0"
"2008","Netherlands","Number","Motorways","0"
"2008","Netherlands","Number","Urban roads","243"
"2008","Netherlands","Number","Rural roads","431"
"2008","Austria","Number","Motorways","71"
"2008","Austria","Number","Urban roads","189"
"2008","Austria","Number","Rural roads","419"
"2008","Poland","Number","Motorways","35"
"2008","Poland","Number","Urban roads","2,499"
"2008","Poland","Number","Rural roads","2,903"
"2008","Portugal","Number","Motorways","96"
"2008","Portugal","Number","Urban roads","417"
"2008","Portugal","Number","Rural roads","372"
"2008","Romania","Number","Motorways","21"
"2008","Romania","Number","Urban roads","1,922"
"2008","Romania","Number","Rural roads","1,122"
"2008","Slovenia","Number","Motorways","13"
"2008","Slovenia","Number","Urban roads","73"
"2008","Slovenia","Number","Rural roads","128"
"2008","Slovakia","Number","Motorways","14"
"2008","Slovakia","Number","Urban roads","280"
"2008","Slovakia","Number","Rural roads","312"
"2008","Finland","Number","Motorways","9"
"2008","Finland","Number","Urban roads","108"
"2008","Finland","Number","Rural roads","227"
"2008","Sweden","Number","Motorways","15"
"2008","Sweden","Number","Urban roads","99"
"2008","Sweden","Number","Rural roads","281"
"2008","United Kingdom","Number","Motorways","157"
"2008","United Kingdom","Number","Urban roads","1,087"
"2008","United Kingdom","Number","Rural roads","1,401"
"2008","Iceland","Number","Motorways","0"
"2008","Iceland","Number","Urban roads","5"
"2008","Iceland","Number","Rural roads","7"
"2008","Liechtenstein","Number","Motorways",":"
"2008","Liechtenstein","Number","Urban roads",":"
"2008","Liechtenstein","Number","Rural roads",":"
"2008","Norway","Number","Motorways",":"
"2008","Norway","Number","Urban roads",":"
"2008","Norway","Number","Rural roads",":"
"2008","Switzerland","Number","Motorways","27"
"2008","Switzerland","Number","Urban roads","135"
"2008","Switzerland","Number","Rural roads","195"
"2009","Belgium","Number","Motorways","150"
"2009","Belgium","Number","Urban roads","257"
"2009","Belgium","Number","Rural roads","537"
"2009","Bulgaria","Number","Motorways","36"
"2009","Bulgaria","Number","Urban roads","312"
"2009","Bulgaria","Number","Rural roads","553"
"2009","Czech Republic","Number","Motorways","25"
"2009","Czech Republic","Number","Urban roads","329"
"2009","Czech Republic","Number","Rural roads","547"
"2009","Denmark","Number","Motorways","24"
"2009","Denmark","Number","Urban roads","92"
"2009","Denmark","Number","Rural roads","187"
"2009","Germany (until 1990 former territory of the FRG)","Number","Motorways","475"
"2009","Germany (until 1990 former territory of the FRG)","Number","Urban roads","1,225"
"2009","Germany (until 1990 former territory of the FRG)","Number","Rural roads","2,452"
"2009","Estonia","Number","Motorways","0"
"2009","Estonia","Number","Urban roads","19"
"2009","Estonia","Number","Rural roads","79"
"2009","Ireland","Number","Motorways","4"
"2009","Ireland","Number","Urban roads","56"
"2009","Ireland","Number","Rural roads","178"
"2009","Greece","Number","Motorways","108"
"2009","Greece","Number","Urban roads","646"
"2009","Greece","Number","Rural roads","702"
"2009","Spain","Number","Motorways","460"
"2009","Spain","Number","Urban roads","584"
"2009","Spain","Number","Rural roads","1,669"
"2009","France","Number","Motorways","225"
"2009","France","Number","Urban roads","1,252"
"2009","France","Number","Rural roads","2,796"
"2009","Croatia","Number","Motorways","43"
"2009","Croatia","Number","Urban roads","316"
"2009","Croatia","Number","Rural roads","189"
"2009","Italy","Number","Motorways","350"
"2009","Italy","Number","Urban roads","1,892"
"2009","Italy","Number","Rural roads","1,995"
"2009","Cyprus","Number","Motorways","7"
"2009","Cyprus","Number","Urban roads","42"
"2009","Cyprus","Number","Rural roads","22"
"2009","Latvia","Number","Motorways","0"
"2009","Latvia","Number","Urban roads","68"
"2009","Latvia","Number","Rural roads","186"
"2009","Lithuania","Number","Motorways",":"
"2009","Lithuania","Number","Urban roads",":"
"2009","Lithuania","Number","Rural roads",":"
"2009","Luxembourg","Number","Motorways","36"
"2009","Luxembourg","Number","Urban roads","10"
"2009","Luxembourg","Number","Rural roads","0"
"2009","Hungary","Number","Motorways","38"
"2009","Hungary","Number","Urban roads","301"
"2009","Hungary","Number","Rural roads","483"
"2009","Malta","Number","Motorways","0"
"2009","Malta","Number","Urban roads","15"
"2009","Malta","Number","Rural roads","0"
"2009","Netherlands","Number","Motorways","83"
"2009","Netherlands","Number","Urban roads","227"
"2009","Netherlands","Number","Rural roads","332"
"2009","Austria","Number","Motorways","61"
"2009","Austria","Number","Urban roads","173"
"2009","Austria","Number","Rural roads","399"
"2009","Poland","Number","Motorways","43"
