GEO,AGE,UNIT,TIME,SEX,Value,Flag and Footnotes
Croatia,58 years,Number,2011,Total,63312,
Croatia,58 years,Number,2011,Males,30864,
Croatia,58 years,Number,2011,Females,32448,
Croatia,59 years,Number,2011,Total,56110,
Croatia,59 years,Number,2011,Males,27538,
Croatia,59 years,Number,2011,Females,28572,
Croatia,60 years,Number,2011,Total,58463,
Croatia,60 years,Number,2011,Males,28216,
Croatia,60 years,Number,2011,Females,30247,
Croatia,61 years,Number,2011,Total,58280,
Croatia,61 years,Number,2011,Males,27695,
Croatia,61 years,Number,2011,Females,30585,
Croatia,62 years,Number,2011,Total,53614,
Croatia,62 years,Number,2011,Males,24805,
Croatia,62 years,Number,2011,Females,28809,
Croatia,63 years,Number,2011,Total,50636,
Croatia,63 years,Number,2011,Males,23511,
Croatia,63 years,Number,2011,Females,27125,
Croatia,64 years,Number,2011,Total,51747,
Croatia,64 years,Number,2011,Males,23624,
Croatia,64 years,Number,2011,Females,28123,
Croatia,65 years,Number,2011,Total,35028,
Croatia,65 years,Number,2011,Males,15780,
Croatia,65 years,Number,2011,Females,19248,
Croatia,66 years,Number,2011,Total,37640,
Croatia,66 years,Number,2011,Males,16856,
Croatia,66 years,Number,2011,Females,20784,
Croatia,67 years,Number,2011,Total,41100,
Croatia,67 years,Number,2011,Males,18135,
Croatia,67 years,Number,2011,Females,22965,
Croatia,68 years,Number,2011,Total,43969,
Croatia,68 years,Number,2011,Males,19363,
Croatia,68 years,Number,2011,Females,24606,
Croatia,69 years,Number,2011,Total,44265,
Croatia,69 years,Number,2011,Males,19230,
Croatia,69 years,Number,2011,Females,25035,
Croatia,70 years,Number,2011,Total,43636,
Croatia,70 years,Number,2011,Males,18981,
Croatia,70 years,Number,2011,Females,24655,
Croatia,71 years,Number,2011,Total,43820,
Croatia,71 years,Number,2011,Males,18652,
Croatia,71 years,Number,2011,Females,25168,
Croatia,72 years,Number,2011,Total,41931,
Croatia,72 years,Number,2011,Males,17401,
Croatia,72 years,Number,2011,Females,24530,
Croatia,73 years,Number,2011,Total,41944,
Croatia,73 years,Number,2011,Males,17336,
Croatia,73 years,Number,2011,Females,24608,
Croatia,74 years,Number,2011,Total,41070,
Croatia,74 years,Number,2011,Males,16542,
Croatia,74 years,Number,2011,Females,24528,
Croatia,75 years,Number,2011,Total,38835,
Croatia,75 years,Number,2011,Males,15451,
Croatia,75 years,Number,2011,Females,23384,
Croatia,76 years,Number,2011,Total,37499,
Croatia,76 years,Number,2011,Males,14580,
Croatia,76 years,Number,2011,Females,22919,
Croatia,77 years,Number,2011,Total,35999,
Croatia,77 years,Number,2011,Males,13650,
Croatia,77 years,Number,2011,Females,22349,
Croatia,78 years,Number,2011,Total,32536,
Croatia,78 years,Number,2011,Males,11738,
Croatia,78 years,Number,2011,Females,20798,
Croatia,79 years,Number,2011,Total,30657,
Croatia,79 years,Number,2011,Males,11037,
Croatia,79 years,Number,2011,Females,19620,
Croatia,80 years,Number,2011,Total,28762,
Croatia,80 years,Number,2011,Males,10006,
Croatia,80 years,Number,2011,Females,18756,
Croatia,81 years,Number,2011,Total,24256,
Croatia,81 years,Number,2011,Males,8375,
Croatia,81 years,Number,2011,Females,15881,
Croatia,82 years,Number,2011,Total,21201,
Croatia,82 years,Number,2011,Males,7062,
Croatia,82 years,Number,2011,Females,14139,
Croatia,83 years,Number,2011,Total,17962,
Croatia,83 years,Number,2011,Males,5881,
Croatia,83 years,Number,2011,Females,12081,
Croatia,84 years,Number,2011,Total,15923,
Croatia,84 years,Number,2011,Males,4675,
Croatia,84 years,Number,2011,Females,11248,
Croatia,85 years,Number,2011,Total,13533,
Croatia,85 years,Number,2011,Males,3818,
Croatia,85 years,Number,2011,Females,9715,
Croatia,86 years,Number,2011,Total,10936,
Croatia,86 years,Number,2011,Males,2857,
Croatia,86 years,Number,2011,Females,8079,
Croatia,87 years,Number,2011,Total,9391,
Croatia,87 years,Number,2011,Males,2385,
Croatia,87 years,Number,2011,Females,7006,
Croatia,88 years,Number,2011,Total,7455,
Croatia,88 years,Number,2011,Males,1831,
Croatia,88 years,Number,2011,Females,5624,
Croatia,89 years,Number,2011,Total,6326,
Croatia,89 years,Number,2011,Males,1524,
Croatia,89 years,Number,2011,Females,4802,
Croatia,90 years,Number,2011,Total,4445,
Croatia,90 years,Number,2011,Males,1064,
Croatia,90 years,Number,2011,Females,3381,
Croatia,91 years,Number,2011,Total,3516,
Croatia,91 years,Number,2011,Males,866,
Croatia,91 years,Number,2011,Females,2650,
Croatia,92 years,Number,2011,Total,1365,
Croatia,92 years,Number,2011,Males,319,
Croatia,92 years,Number,2011,Females,1046,
Croatia,93 years,Number,2011,Total,794,
Croatia,93 years,Number,2011,Males,195,
Croatia,93 years,Number,2011,Females,599,
Croatia,94 years,Number,2011,Total,638,
Croatia,94 years,Number,2011,Males,136,
Croatia,94 years,Number,2011,Females,502,
Croatia,95 years,Number,2011,Total,463,
Croatia,95 years,Number,2011,Males,105,
Croatia,95 years,Number,2011,Females,358,
Croatia,96 years,Number,2011,Total,631,
Croatia,96 years,Number,2011,Males,132,
Croatia,96 years,Number,2011,Females,499,
Croatia,97 years,Number,2011,Total,458,
Croatia,97 years,Number,2011,Males,99,
Croatia,97 years,Number,2011,Females,359,
Croatia,98 years,Number,2011,Total,287,
Croatia,98 years,Number,2011,Males,76,
Croatia,98 years,Number,2011,Females,211,
Croatia,99 years,Number,2011,Total,164,
Croatia,99 years,Number,2011,Males,34,
Croatia,99 years,Number,2011,Females,130,
Croatia,100 years or over,Number,2011,Total,198,
Croatia,100 years or over,Number,2011,Males,36,
Croatia,100 years or over,Number,2011,Females,162,
Primorsko-goranska zupanija,Total,Number,2011,Total,296195,
Primorsko-goranska zupanija,Total,Number,2011,Males,143085,
Primorsko-goranska zupanija,Total,Number,2011,Females,153110,
Primorsko-goranska zupanija,Less than 1 year,Number,2011,Total,2549,
Primorsko-goranska zupanija,Less than 1 year,Number,2011,Males,1308,
Primorsko-goranska zupanija,Less than 1 year,Number,2011,Females,1241,
Primorsko-goranska zupanija,1 year,Number,2011,Total,2662,
Primorsko-goranska zupanija,1 year,Number,2011,Males,1364,
Primorsko-goranska zupanija,1 year,Number,2011,Females,1298,
Primorsko-goranska zupanija,2 years,Number,2011,Total,2565,
Primorsko-goranska zupanija,2 years,Number,2011,Males,1282,
Primorsko-goranska zupanija,2 years,Number,2011,Females,1283,
Primorsko-goranska zupanija,3 years,Number,2011,Total,2464,
Primorsko-goranska zupanija,3 years,Number,2011,Males,1270,
Primorsko-goranska zupanija,3 years,Number,2011,Females,1194,
Primorsko-goranska zupanija,4 years,Number,2011,Total,2278,
Primorsko-goranska zupanija,4 years,Number,2011,Males,1170,
Primorsko-goranska zupanija,4 years,Number,2011,Females,1108,
Primorsko-goranska zupanija,5 years,Number,2011,Total,2436,
Primorsko-goranska zupanija,5 years,Number,2011,Males,1310,
Primorsko-goranska zupanija,5 years,Number,2011,Females,1126,
Primorsko-goranska zupanija,6 years,Number,2011,Total,2369,
Primorsko-goranska zupanija,6 years,Number,2011,Males,1245,
Primorsko-goranska zupanija,6 years,Number,2011,Females,1124,
Primorsko-goranska zupanija,7 years,Number,2011,Total,2401,
Primorsko-goranska zupanija,7 years,Number,2011,Males,1173,
Primorsko-goranska zupanija,7 years,Number,2011,Females,1228,
