"TIME","GEO","UNIT","ROADUSER","Value"
"2006","Portugal","Number","Pedestrian","156"
"2006","Romania","Number","Driver","908"
"2006","Romania","Number","Passenger","645"
"2006","Romania","Number","Pedestrian","1,034"
"2006","Slovenia","Number","Driver","171"
"2006","Slovenia","Number","Passenger","55"
"2006","Slovenia","Number","Pedestrian","36"
"2006","Slovakia","Number","Driver","266"
"2006","Slovakia","Number","Passenger","134"
"2006","Slovakia","Number","Pedestrian","214"
"2006","Finland","Number","Driver","233"
"2006","Finland","Number","Passenger","54"
"2006","Finland","Number","Pedestrian","49"
"2006","Sweden","Number","Driver","305"
"2006","Sweden","Number","Passenger","81"
"2006","Sweden","Number","Pedestrian","55"
"2006","United Kingdom","Number","Driver","1,953"
"2006","United Kingdom","Number","Passenger","648"
"2006","United Kingdom","Number","Pedestrian","697"
"2006","Iceland","Number","Driver","19"
"2006","Iceland","Number","Passenger","8"
"2006","Iceland","Number","Pedestrian","4"
"2006","Liechtenstein","Number","Driver","0"
"2006","Liechtenstein","Number","Passenger","0"
"2006","Liechtenstein","Number","Pedestrian","0"
"2006","Norway","Number","Driver","166"
"2006","Norway","Number","Passenger","40"
"2006","Norway","Number","Pedestrian","36"
"2006","Switzerland","Number","Driver","243"
"2006","Switzerland","Number","Passenger","51"
"2006","Switzerland","Number","Pedestrian","76"
"2007","Belgium","Number","Driver","834"
"2007","Belgium","Number","Passenger","132"
"2007","Belgium","Number","Pedestrian","104"
"2007","Bulgaria","Number","Driver",":"
"2007","Bulgaria","Number","Passenger",":"
"2007","Bulgaria","Number","Pedestrian",":"
"2007","Czech Republic","Number","Driver","752"
"2007","Czech Republic","Number","Passenger","237"
"2007","Czech Republic","Number","Pedestrian","232"
"2007","Denmark","Number","Driver","281"
"2007","Denmark","Number","Passenger","57"
"2007","Denmark","Number","Pedestrian","68"
"2007","Germany (until 1990 former territory of the FRG)","Number","Driver","3,518"
"2007","Germany (until 1990 former territory of the FRG)","Number","Passenger","736"
"2007","Germany (until 1990 former territory of the FRG)","Number","Pedestrian","695"
"2007","Estonia","Number","Driver","105"
"2007","Estonia","Number","Passenger","49"
"2007","Estonia","Number","Pedestrian","38"
"2007","Ireland","Number","Driver","186"
"2007","Ireland","Number","Passenger","71"
"2007","Ireland","Number","Pedestrian","81"
"2007","Greece","Number","Driver","1,013"
"2007","Greece","Number","Passenger","344"
"2007","Greece","Number","Pedestrian","255"
